#;TIPO MRSPP;SCORE;VINCULANTE;DEMANDA CIUDADANA;PROYECTO DEL POA;POR QUÉ EL MOTOR LO CLASIFICÓ ASÍ;¿CORRECTO? (si/no/otro-tipo);NOTA DE JAVO
1;DIRECTA;0.674;SÍ;NECESITAMOS PARQUE (SECTOR NUEVO MONTECRISTI);Construccción parque las Pampas · Urbanización y Embellecimiento 01.01.01.B300.360.2024.750104.001.13.09.02.A13.99.9 9.99.99.002 · Dirección de Obras Públicas.;directa: ejecuta el objeto de la demanda 'areas_verdes' (rubro afín);;el sector nuevo montecristi es real, pero la relación esta mal, es olo sematica, si la petición fue para nuevo montecristi, el parque de las pamas (zona rural), no es un acatamiento de las demandas ciudadanas, solo estas juntando semanticamente, pero, no tiene nada que ver las pampas con nuevo montecristi, y la unica relacion es que en ambas se pide un parque, NO eso no es incorporar las necesidades ciudadanas a la planificicacion ya que son ditintos lugares.
12;FUNCIONAL;0.592;SÍ;NUEVOS PARQUES PRIORIDADES (JUNTA CfVICA COLORADO);Adquisición y plantación de árboles forestales en varios sectores del cantón Montecristi · 01.01.01.B300.320.2023.731515.000.13.09. 02.A13.99.99.99.99.002 · 7.3.15.15.000;funcional: objeto distinto ('adquisicion') que produce el efecto buscado por la demanda 'areas_verdes';;NO existe relaciond eningun tipo, construir un parque no es lo mismo que sembrar plantas ornamentales 
13;FUNCIONAL;0.577;SÍ;PARQUE DE COLORADO, MAS PLANTAS, FUNCION DE PILETA E ILUMINACl6N (COLORADO);Adquisición y plantación de árboles forestales en varios sectores del cantón Montecristi · 01.01.01.B300.320.2023.731515.000.13.09. 02.A13.99.99.99.99.002 · 7.3.15.15.000;funcional: objeto distinto ('adquisicion') que produce el efecto buscado por la demanda 'areas_verdes';;existe relacion por el ornato
14;FUNCIONAL;0.577;SÍ;SEMBRAR ARBOLES Y REALIZAR LIMPIEZA DE AREAS OE RECREACIQN VERDE (COMITE DE SERVICIO SOCIAL LEONIDAS PROANO);Dotación De Materiales De Limpieza · Materiales de Aseo 01.01.01.B300.360.2024.730805.000.13.09.02.A13.99.9 9.99.99.002 · Dirección de Desarrollo, Acción e Inclusión Soci;funcional: objeto distinto ('dotacion') que produce el efecto buscado por la demanda 'residuos';;NO existe relacion creeria yo
15;FUNCIONAL;0.575;SÍ;REQUERIMIENTODE PARQUES Y JUEGOS INfANTILESPARA ALUMNOS -CENTRO MONTECRISTI;Adquisición y plantación de árboles forestales en varios sectores del cantón Montecristi · 01.01.01.B300.320.2023.731515.000.13.09. 02.A13.99.99.99.99.002 · 7.3.15.15.000;funcional: objeto distinto ('adquisicion') que produce el efecto buscado por la demanda 'areas_verdes';;NO existe relacion rel, es  mejoramiento de infraestrura y sus equipamiento, las plantas no son una cuestion directa, casi o hay relacion 
16;FUNCIONAL;0.567;SÍ;Saludos estimado Alcalde Jonathan Toro, comentarle que la calle que va hacia nuestra ciudadela y QIE que une con la cdla Monteroque, 6 de marzo así mismo el anillo vial d;Servicio de señalización horizontal para fortalecer la seguridad vial y la infraestructura de movilidad del cantón Montecristi, mediante el mejoramiento de los dispositiv;funcional: objeto distinto ('suministro') que produce el efecto buscado por la demanda 'vialidad';;Esto es anillo vial es pavimientacion o mejorar sino es pavimentacion y la peticion habla de educacion vial, señelketica esta bien la relacion, pero si es construccion no hay relacion directa sino parcial
17;COMPLEMENTARIA;0.558;SÍ;REACTIVACION DE LOSPARQUES • NUEVA KENEDY;Contraparte del Proyecto de Actualización catastral del suelo rural del cantón Montecristi (convenio MIDUVI)** · Consultoría, Asesoría e Investigación Especializada 01.01;complementaria: proyecto estructural: contribuye a las condiciones del entorno, no ejecuta el objeto;;Ninguan relacion esta super mal
18;COMPLEMENTARIA;0.534;SÍ;ARBORIZAR LA COMUNIDAD (BARRIO SANTA ANA) (SECTOR NUEVO MONTECRISTI);Desarrollo de actividades que promueven la participación ciudadana en el cantón Montecristi · 01.01.01.A100.110.2023.530613.000. · Capacitación para la Ciu · Planificació;complementaria: proyecto estructural: contribuye a las condiciones del entorno, no ejecuta el objeto;;Ninguan relacion esta super mal
19;COMPLEMENTARIA;0.527;SÍ;TENEMOS AREAS PARA REALIZAR EN CENTRO DE LEONIDAS PROANO (COMITE DE SERVICIO SOCIAL I i=n,11nAC DD� ,.,�,;Desarrollo de actividades que promueven la participación ciudadana en el cantón Montecristi · 01.01.01.A100.110.2023.530613.000. · Capacitación para la Ciu · Planificació;complementaria: proyecto estructural: contribuye a las condiciones del entorno, no ejecuta el objeto;;Ninguan relacion esta super mal
20;COMPLEMENTARIA;0.517;SÍ;ESMUY NECESARIO A TRAVES DELCUIDADO PERSONALO GRUPAL -PARAISO DELOS ROBLES;Desarrollo de actividades que promueven la participación ciudadana en el cantón Montecristi · 01.01.01.A100.110.2023.530613.000. · Capacitación para la Ciu · Planificació;complementaria: proyecto estructural: contribuye a las condiciones del entorno, no ejecuta el objeto;;Ninguan relacion esta super mal
21;COMPLEMENTARIA;0.472;SÍ;FABRICAS MUY CERCA (CIUDADELA PRIMERO DE MAYO);Desarrollo de actividades que promueven la participación ciudadana en el cantón Montecristi · 01.01.01.A100.110.2023.530613.000. · Capacitación para la Ciu · Planificació;complementaria: proyecto estructural: contribuye a las condiciones del entorno, no ejecuta el objeto;;Ninguan relacion esta super mal
22;COMPLEMENTARIA;0.469;SÍ;SE NECESITA PARA NUESTROS NINOS (SECTOR LA CHISPA);Desarrollo de actividades que promueven la participación ciudadana en el cantón Montecristi · 01.01.01.A100.110.2023.530613.000. · Capacitación para la Ciu · Planificació;complementaria: proyecto estructural: contribuye a las condiciones del entorno, no ejecuta el objeto;;Ninguan relacion esta super mal
23;COMPLEMENTARIA;0.469;SÍ;EUMINACIQN DEL POLVO EN VfAS (BARRIO SANTA ANA) (SECTOR NUEVO MONTECRISTI);Desarrollo de actividades que promueven la participación ciudadana en el cantón Montecristi · 01.01.01.A100.110.2023.530613.000. · Capacitación para la Ciu · Planificació;complementaria: proyecto estructural: contribuye a las condiciones del entorno, no ejecuta el objeto;;Ninguan relacion esta super mal
24;COMPLEMENTARIA;0.458;SÍ;MANTENIMIENTO DELAS PLANTAS OEEL PASEO LUOICO;Contraparte del Proyecto de Actualización catastral del suelo rural del cantón Montecristi (convenio MIDUVI)** · Consultoría, Asesoría e Investigación Especializada 01.01;complementaria: proyecto estructural: contribuye a las condiciones del entorno, no ejecuta el objeto;;Ninguan relacion esta super mal
